VIN: 13869
MAKE: BEML LTD
MODEL: BD-155
SERIAL NUMBER: 13869
UNIT NUMBER: 
DISPLAY DATE CODE: 060320231148
DATE DOWNLOADED(DD/MM/YYYY): 8/3/2023
"ID","Time","Type","Priority","Data Page","Reserved","PDU-F","PDU-S","Source Address","PGN","Abbr","PID","Data Length","Byte 0","Byte 1","Byte 2","Byte 3","Byte 4","Byte 5","Byte 6","Byte 7"
"0","1678273542.919593","29-bit","7","0","0","0xFE","0x92","0x00","0xFE92","","0x1CFE9200","8",0xFF,0xFF,0xFF,0x6D,0xFF,0xFF,0xFF,0xFF
"1","1678273542.941593","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0xBD,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"2","1678273542.941593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x4D,0x14,0xFF,0xFF,0xFF
"3","1678273542.963593","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"4","1678273542.963593","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xA1,0x02,0xFF,0xFF,0xFF,0xFF,0x82,0x07
"5","1678273542.963593","29-bit","6","0","0","0xFE","0xE5","0x00","0xFEE5","","0x18FEE500","8",0xE1,0x01,0x00,0x00,0xFF,0xFF,0xFF,0xFF
"6","1678273542.985593","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"7","1678273542.985593","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"8","1678273542.985593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x47,0x14,0xFF,0xFF,0xFF
"9","1678273542.985593","29-bit","6","0","0","0xFE","0xCA","0x00","0xFECA","","0x18FECA00","8",0xC0,0xFF,0x00,0x00,0x00,0x00,0xFF,0xFF
"10","1678273542.985593","29-bit","6","0","0","0xFE","0xEE","0x00","0xFEEE","","0x18FEEE00","8",0x5C,0xFF,0x92,0x27,0xFF,0xFF,0xFF,0xFF
"11","1678273542.985593","29-bit","6","0","0","0xFE","0xEF","0x00","0xFEEF","","0x18FEEF00","8",0xFF,0xFF,0xFF,0x48,0xFF,0xFF,0xFF,0xFF
"12","1678273542.985593","29-bit","6","0","0","0xFE","0xF6","0x00","0xFEF6",".","0x18FEF600","8",0xFF,0x2D,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"13","1678273542.985593","29-bit","6","0","0","0xFE","0xDF","0x00","0xFEDF","","0x18FEDF00","8",0xFF,0x50,0x14,0xFF,0xFF,0xFF,0xFF,0xFF
"14","1678273543.007593","29-bit","6","0","0","0xFE","0xF2","0x00","0xFEF2","","0x18FEF200","8",0xB1,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"15","1678273543.007593","29-bit","6","0","0","0xF0","0x01","0x00","0xF001","","0x18F00100","8",0xFF,0xFF,0xFF,0xCF,0xFF,0xFF,0xFF,0xFF
"16","1678273543.007593","29-bit","6","0","0","0xFE","0xF7","0x00","0xFEF7","","0x18FEF700","8",0xFF,0xFF,0x2A,0x02,0x30,0x02,0xFF,0xFF
"17","1678273543.007593","29-bit","7","0","0","0xFE","0x92","0x00","0xFE92","","0x1CFE9200","8",0xFF,0xFF,0xFF,0x6D,0xFF,0xFF,0xFF,0xFF
"18","1678273543.029593","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0xBD,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"19","1678273543.029593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x44,0x14,0xFF,0xFF,0xFF
"20","1678273543.051593","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"21","1678273543.073593","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xA1,0x02,0xFF,0xFF,0xFF,0xFF,0x82,0x07
"22","1678273543.073593","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"23","1678273543.095593","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"24","1678273543.095593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x41,0x14,0xFF,0xFF,0xFF
"25","1678273543.095593","29-bit","6","0","0","0xFE","0xF2","0x00","0xFEF2","","0x18FEF200","8",0xB1,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"26","1678273543.095593","29-bit","6","0","0","0xF0","0x01","0x00","0xF001","","0x18F00100","8",0xFF,0xFF,0xFF,0xCF,0xFF,0xFF,0xFF,0xFF
"27","1678273543.117593","29-bit","7","0","0","0xFE","0x92","0x00","0xFE92","","0x1CFE9200","8",0xFF,0xFF,0xFF,0x6D,0xFF,0xFF,0xFF,0xFF
"28","1678273543.117593","29-bit","6","0","0","0xE8","0xFF","0x00","0xE800","","0x18E8FF00","8",0x01,0xFF,0xFF,0xFF,0xF2,0x8C,0xFE,0x00
"29","1678273543.139593","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0xBD,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"30","1678273543.139593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x43,0x14,0xFF,0xFF,0xFF
"31","1678273543.161593","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"32","1678273543.161593","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xA1,0x02,0xFF,0xFF,0xFF,0xFF,0x82,0x07
"33","1678273543.183593","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"34","1678273543.183593","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"35","1678273543.183593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x46,0x14,0xFF,0xFF,0xFF
"36","1678273543.205593","29-bit","6","0","0","0xFE","0xF2","0x00","0xFEF2","","0x18FEF200","8",0xB1,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"37","1678273543.205593","29-bit","6","0","0","0xF0","0x01","0x00","0xF001","","0x18F00100","8",0xFF,0xFF,0xFF,0xCF,0xFF,0xFF,0xFF,0xFF
"38","1678273543.205593","29-bit","7","0","0","0xFE","0x92","0x00","0xFE92","","0x1CFE9200","8",0xFF,0xFF,0xFF,0x6D,0xFF,0xFF,0xFF,0xFF
"39","1678273543.227593","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0xBD,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"40","1678273543.227593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x47,0x14,0xFF,0xFF,0xFF
"41","1678273543.249593","29-bit","6","0","0","0xFE","0xDF","0x00","0xFEDF","","0x18FEDF00","8",0xFF,0x50,0x14,0xFF,0xFF,0xFF,0xFF,0xFF
"42","1678273543.249593","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"43","1678273543.271593","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xA1,0x02,0xFF,0xFF,0xFF,0xFF,0x82,0x07
"44","1678273543.271593","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"45","1678273543.293593","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
"46","1678273543.293593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x46,0x14,0xFF,0xFF,0xFF
"47","1678273543.293593","29-bit","6","0","0","0xFE","0xF2","0x00","0xFEF2","","0x18FEF200","8",0xB1,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"48","1678273543.293593","29-bit","6","0","0","0xF0","0x01","0x00","0xF001","","0x18F00100","8",0xFF,0xFF,0xFF,0xCF,0xFF,0xFF,0xFF,0xFF
"49","1678273543.315593","29-bit","7","0","0","0xFE","0x92","0x00","0xFE92","","0x1CFE9200","8",0xFF,0xFF,0xFF,0x6D,0xFF,0xFF,0xFF,0xFF
"50","1678273543.337593","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0xBD,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"51","1678273543.337593","29-bit","3","0","0","0xF0","0x04","0x00","0xF004","","0x0CF00400","8",0x03,0xA9,0xA9,0x3C,0x14,0xFF,0xFF,0xFF
"52","1678273543.359593","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0xFF,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFE
