ID,Timestamp,PGN (Hex),PGN Definition,SPN Definitions,SPN Values
"1","2023-03-08 16:35:42.941593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"2","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"3","2023-03-08 16:35:42.963593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"4","2023-03-08 16:35:42.963593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"6","2023-03-08 16:35:42.985593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"7","2023-03-08 16:35:42.985593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"8","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"9","2023-03-08 16:35:42.985593","0xFECA","Definition not Present in SAE J1939 Standard","No SPNs defined","-"
"15","2023-03-08 16:35:43.007593","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"18","2023-03-08 16:35:43.029593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"19","2023-03-08 16:35:43.029593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"20","2023-03-08 16:35:43.051593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"21","2023-03-08 16:35:43.073593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"22","2023-03-08 16:35:43.073593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"23","2023-03-08 16:35:43.095593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"24","2023-03-08 16:35:43.095593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"26","2023-03-08 16:35:43.095593","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"28","2023-03-08 16:35:43.117593","0xE8FF","Definition not Present in SAE J1939 Standard","No SPNs defined","-"
"29","2023-03-08 16:35:43.139593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"30","2023-03-08 16:35:43.139593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"31","2023-03-08 16:35:43.161593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"32","2023-03-08 16:35:43.161593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"33","2023-03-08 16:35:43.183593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"34","2023-03-08 16:35:43.183593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"35","2023-03-08 16:35:43.183593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"37","2023-03-08 16:35:43.205593","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"39","2023-03-08 16:35:43.227593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"40","2023-03-08 16:35:43.227593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"42","2023-03-08 16:35:43.249593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"43","2023-03-08 16:35:43.271593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"44","2023-03-08 16:35:43.271593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"45","2023-03-08 16:35:43.293593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"46","2023-03-08 16:35:43.293593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"48","2023-03-08 16:35:43.293593","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"50","2023-03-08 16:35:43.337593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"51","2023-03-08 16:35:43.337593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"52","2023-03-08 16:35:43.359593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"53","2023-03-08 16:35:43.359593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"54","2023-03-08 16:35:43.381593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"55","2023-03-08 16:35:43.381593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"56","2023-03-08 16:35:43.381593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"58","2023-03-08 16:35:43.403593","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"60","2023-03-08 16:35:43.447593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"61","2023-03-08 16:35:43.447593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"62","2023-03-08 16:35:43.447593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"64","2023-03-08 16:35:43.469593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"65","2023-03-08 16:35:43.469593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"66","2023-03-08 16:35:43.491593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"67","2023-03-08 16:35:43.491593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"72","2023-03-08 16:35:43.513592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"74","2023-03-08 16:35:43.535592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"75","2023-03-08 16:35:43.535592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"76","2023-03-08 16:35:43.557592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"77","2023-03-08 16:35:43.557592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"78","2023-03-08 16:35:43.579592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"79","2023-03-08 16:35:43.579592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"80","2023-03-08 16:35:43.579592","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"82","2023-03-08 16:35:43.601592","0xF001","Electronic Brake Controller 1 - EBC1","ASR Engine Control, ASR Brake Control, Anti-Lock Braking (ABS), EBS Brake Switch, Brake Pedal Position, ABS Off-road Switch, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control, ASR Engine Control, ASR Brake Control, ASR Clutch Control","3.00, 3.00, 3.00, 3.00, 1.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00"
"84","2023-03-08 16:35:43.645592","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"85","2023-03-08 16:35:43.645592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
"87","2023-03-08 16:35:43.667592","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"88","2023-03-08 16:35:43.667592","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"89","2023-03-08 16:35:43.667592","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"90","2023-03-08 16:35:43.689592","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode, Engine Starter Mode","3.00, 15.00"
