ID,Serial_Number,Timestamp,PGN (Hex),PGN Definition,SPN Definition,SPN Value
"0","1","2023-03-08 16:35:42.919593","0xFE92","Engine Information - EI","Pre-filter Oil Pressurer","255.00"
"0","2","2023-03-08 16:35:42.919593","0xFE92","Engine Information - EI","Exhaust Gas Pressure","65535.00"
"0","3","2023-03-08 16:35:42.919593","0xFE92","Engine Information - EI","Fuel Rack Position","109.00"
"0","4","2023-03-08 16:35:42.919593","0xFE92","Engine Information - EI","Mass Flow (Gaseous)","65535.00"
"0","5","2023-03-08 16:35:42.919593","0xFE92","Engine Information - EI","Instantaneous Estimated Brake Power","65535.00"
"1","6","2023-03-08 16:35:42.941593","0xFF03","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"2","7","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode","3.00"
"2","8","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Driver's Demand Engine - Percent Torque","169.00"
"2","9","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Actual Engine - Percent Torque","169.00"
"2","10","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Speed","649.62"
"2","11","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Source Address of Controlling Device for Engine Control","255.00"
"2","12","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Starter Mode","15.00"
"2","13","2023-03-08 16:35:42.941593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Demand - Percent Torque","255.00"
"3","14","2023-03-08 16:35:42.963593","0xFF00","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"4","15","2023-03-08 16:35:42.963593","0xFF01","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"5","16","2023-03-08 16:35:42.963593","0xFEE5","Engine Hours, Revolutions - HOURS","Total Engine Hours","481.00"
"5","17","2023-03-08 16:35:42.963593","0xFEE5","Engine Hours, Revolutions - HOURS","Total Engine Revolutions","4294967295.00"
"6","18","2023-03-08 16:35:42.985593","0xFF02","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"7","19","2023-03-08 16:35:42.985593","0xFF04","FF00-FFFF Proprietary PGN Range","No SPNs defined","-"
"8","20","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Torque Mode","3.00"
"8","21","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Driver's Demand Engine - Percent Torque","169.00"
"8","22","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Actual Engine - Percent Torque","169.00"
"8","23","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Speed","648.88"
"8","24","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Source Address of Controlling Device for Engine Control","255.00"
"8","25","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Starter Mode","15.00"
"8","26","2023-03-08 16:35:42.985593","0xF004","Electronic Engine Controller 1 - EEC1","Engine Demand - Percent Torque","255.00"
"9","27","2023-03-08 16:35:42.985593","0xFECA","Definition not Present in SAE J1939 Standard","No SPNs defined","-"
"10","28","2023-03-08 16:35:42.985593","0xFEEE","Engine Temperature 1 - ET1","Engine Coolant Temperature","92.00"
"10","29","2023-03-08 16:35:42.985593","0xFEEE","Engine Temperature 1 - ET1","Fuel Temperature","255.00"
"10","30","2023-03-08 16:35:42.985593","0xFEEE","Engine Temperature 1 - ET1","Engine Oil Temperature","10130.00"
"11","31","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Fuel Delivery Pressure","1020.00"
"11","32","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Extended Crankcase Blow-by Pressure","12.75"
"11","33","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Engine Oil Level","102.00"
"11","34","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Engine Oil Pressure","288.00"
"11","35","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Crankcase Pressure","1797.97"
"11","36","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Coolant Pressure","510.00"
"11","37","2023-03-08 16:35:42.985593","0xFEEF","Engine Fluid Level/Pressure 1 - EFL/P1","Coolant Level","102.00"
"12","38","2023-03-08 16:35:42.985593","0xFEF6","Inlet/Exhaust Conditions 1 - IC1","Boost Pressure","45.00"
"12","39","2023-03-08 16:35:42.985593","0xFEF6","Inlet/Exhaust Conditions 1 - IC1","Intake Manifold 1 Temperature","255.00"
"12","40","2023-03-08 16:35:42.985593","0xFEF6","Inlet/Exhaust Conditions 1 - IC1","Air Inlet Pressure","255.00"
"12","41","2023-03-08 16:35:42.985593","0xFEF6","Inlet/Exhaust Conditions 1 - IC1","Air Filter 1 Differential Pressure","255.00"
"12","42","2023-03-08 16:35:42.985593","0xFEF6","Inlet/Exhaust Conditions 1 - IC1","Exhaust Gas Temperature","65535.00"
"13","43","2023-03-08 16:35:42.985593","0xFEDF","Electronic Engine Controller 3 - EEC3","Engine Torque Mode","255.00"
"13","44","2023-03-08 16:35:42.985593","0xFEDF","Electronic Engine Controller 3 - EEC3","Driver's Demand Engine - Percent Torque","5200.00"
"14","45","2023-03-08 16:35:43.007593","0xFEF2","Fuel Economy (Liquid) - LFE","Fuel Rate","177.00"
"14","46","2023-03-08 16:35:43.007593","0xFEF2","Fuel Economy (Liquid) - LFE","Instantaneous Fuel Economy1","65535.00"
"14","47","2023-03-08 16:35:43.007593","0xFEF2","Fuel Economy (Liquid) - LFE","Average Fuel Economy","65535.00"
"14","48","2023-03-08 16:35:43.007593","0xFEF2","Fuel Economy (Liquid) - LFE","Throttle Position","65535.00"
